Temporada,Episodis,Primera_emissio,Ultima_emissio,Audiencia_mitjana,Posicio
,13,17 de diciembre de 1989,13 de mayo de 1990,13.4,30222
,22,11 de octubre de 1990,11 de julio de 1991,12.2,38223
,24,19 de septiembre de 1991,27 de agosto de 1992,12.0,33224
,22,24 de septiembre de 1992,13 de mayo de 1993,12.1225,30
,22,30 de septiembre de 1993,19 de mayo de 1994,10.5,53226
,25,4 de septiembre de 1994,21 de mayo de 1995,9.0227,67227
,25,17 de septiembre de 1995,19 de mayo de 1996,8.0228,75228
,25,27 de octubre de 1996,18 de mayo de 1997,8.6229,53229
,25,21 de septiembre de 1997,17 de mayo de 1998,9.1230,30
,23,23 de agosto de 1998,16 de mayo de 1999,7.9231,46231
,22,26 de septiembre de 1999,21 de mayo de 2000,8.2232,44232
,21,1 de noviembre de 2000,20 de mayo de 2001,14.7233,21233
,22,6 de noviembre de 2001,22 de mayo de 2002,12.4234,30234
,22,3 de noviembre de 2002,18 de mayo de 2003,13.4235,25235
,22,2 de noviembre de 2003,23 de mayo de 2004,10.6236,42236
,21,7 de noviembre de 2004,15 de mayo de 2005,9.6237,52237
,22,11 de septiembre de 2005,21 de mayo de 2006,9.1238,62238
,22,10 de septiembre de 2006,20 de mayo de 2007,8.6239,60239
,20,23 de septiembre de 2007,18 de mayo de 2008,8.0240,87240
,21,28 de septiembre de 2008,17 de mayo de 2009,6.9241,77241
,23,27 de septiembre de 2009,23 de mayo de 2010,7.2242,61242
,22,26 de septiembre de 2010,22 de mayo de 2011,7.3243,65243
,22,25 de septiembre de 2011,20 de mayo de 2012,7.0244,69244
,22,30 de septiembre de 2012,19 de mayo de 2013,6.3245,70245
,22,29 de septiembre de 2013,18 de mayo de 2014,5.6246,81246
,22,28 de septiembre de 2014,17 de mayo de 2015,5.6247,100247
,22,27 de septiembre de 2015,22 de mayo de 2016,4.7248,102248
,22,25 de septiembre de 2016,21 de mayo de 2017,4.8249,92249
,21,1 de octubre de 2017,20 de mayo de 2018,4.1250,122250
,23,30 de septiembre de 2018,12 de mayo de 2019,3.7251,126251
,22,29 de septiembre de 2019,17 de mayo de 2020,3.0252,103252
,22,27 de septiembre de 2020,23 de mayo de 2021,2.4253,117253
,22,26 de septiembre de 2021,22 de mayo de 2022,2.3254,98254
,22,25 de septiembre de 2022,21 de mayo de 2023255,—,—
